Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 7810, loss -109.1819
Step 7820, loss -105.5418
Step 7830, loss -106.8855
Step 7840, loss -110.6895
Step 7850, loss -105.0283
Step 7860, loss -110.1729
Step 7870, loss -112.9953
Step 7880, loss -112.0150
Step 7890, loss -110.4494
Step 7900, loss -113.5594
Step 7910, loss -109.2495
Step 7920, loss -111.1716
Step 7930, loss -103.2722
Step 7940, loss -106.6876
Step 7950, loss -110.3551
Step 7960, loss -113.5495
Step 7970, loss -104.9863
Step 7980, loss -109.3755
Step 7990, loss -110.3897
Step 8000, loss -115.1738
Step 8010, loss -108.4405
Step 8020, loss -110.4144
Step 8030, loss -114.1073
Step 8040, loss -112.4454
Step 8050, loss -108.9122
Step 8060, loss -111.6128
Step 8070, loss -112.1721
Step 8080, loss -114.0334
Step 8090, loss -113.2124
Step 8100, loss -108.4446
Step 8110, loss -110.1758
Step 8120, loss -112.2879
Step 8130, loss -114.0472
Step 8140, loss -110.8670
Step 8150, loss -113.9945
Step 8160, loss -113.6218
Step 8170, loss -99.6000
Step 8180, loss -104.8896
Step 8190, loss -109.9646
Step 8200, loss -111.9813
Step 8210, loss -112.4965
Step 8220, loss -110.4488
Step 8230, loss -112.3853
Step 8240, loss -111.5668
Step 8250, loss -110.3199
Step 8260, loss -111.8151
Step 8270, loss -112.9801
Step 8280, loss -113.3128
Step 8290, loss -108.7620
Step 8300, loss -104.0021
Step 8310, loss -110.8310
Step 8320, loss -112.1293
Step 8330, loss -110.2846
Step 8340, loss -112.0729
Step 8350, loss -114.5387
Step 8360, loss -114.8408
Step 8370, loss -108.0979
Step 8380, loss -108.8888
Step 8390, loss -111.3994
Step 8400, loss -114.4388
Step 8410, loss -110.3536
Step 8420, loss -108.9924
Step 8430, loss -109.8223
Step 8440, loss -115.2398
Step 8450, loss -112.9441
Step 8460, loss -110.0402
Step 8470, loss -110.4158
Step 8480, loss -114.6250
Step 8490, loss -115.1901
Step 8500, loss -110.3842
Step 8510, loss -108.1128
Step 8520, loss -107.4399
Step 8530, loss -113.1549
Step 8540, loss -115.7444
Step 8550, loss -110.3530
Step 8560, loss -113.0842
Step 8570, loss -110.4973
Step 8580, loss -114.0022
Step 8590, loss -112.8046
Step 8600, loss -114.5893
Step 8610, loss -112.9589
Step 8620, loss -109.7327
